asset_id,common_name,scientific_name,date,location,taxon_code
658907629,Common Potoo,,1 Jun 2026,,compot1
658847760,Common Potoo,,26 May 2026,"El Encantado (Antigua Hacienda), Miranda, Venezuela",compot1
658656635,Common Potoo,,12 May 2026,"Atalaya (pueblo), Cuzco [Cusco], Peru",compot1
658606475,Common Potoo,,21 Dec 2016,"Condominio Laranjeiras, Paraty, Rio de Janeiro, Brazil",compot1
658418595,Common Potoo,,25 May 2026,"San José de Lindaraja Cundinamarca, CO (5,073, -74,488), Cundinamarca, Colombia",compot1
658418299,Common Potoo,,25 May 2026,"San José de Lindaraja Cundinamarca, CO (5,073, -74,488), Cundinamarca, Colombia",compot1
658418257,Common Potoo,,25 May 2026,"San José de Lindaraja Cundinamarca, CO (5,073, -74,488), Cundinamarca, Colombia",compot1
658417392,Common Potoo,,25 May 2026,"San José de Lindaraja Cundinamarca, CO (5,073, -74,488), Cundinamarca, Colombia",compot1
658328807,Common Potoo,,23 May 2026,"Via San Isidro, Morona-Santiago,, Morona-Santiago, Ecuador",compot1
658328806,Common Potoo,,23 May 2026,"Via San Isidro, Morona-Santiago,, Morona-Santiago, Ecuador",compot1
658234537,Common Potoo,,23 May 2026,"San José de Lindaraja Cundinamarca, CO (5,073, -74,488), Cundinamarca, Colombia",compot1
658225448,Common Potoo,,21 May 2026,"Conjunto Castellón, Quindío, Colombia",compot1
658201659,Common Potoo,,23 May 2026,"Charagre (Poblado), Bocas del Toro, Panama",compot1
658079456,Common Potoo,,21 May 2026,"San José de Lindaraja Cundinamarca, CO (5,073, -74,488), Cundinamarca, Colombia",compot1
658079457,Common Potoo,,21 May 2026,"San José de Lindaraja Cundinamarca, CO (5,073, -74,488), Cundinamarca, Colombia",compot1
658079458,Common Potoo,,21 May 2026,"San José de Lindaraja Cundinamarca, CO (5,073, -74,488), Cundinamarca, Colombia",compot1
658079455,Common Potoo,,21 May 2026,"San José de Lindaraja Cundinamarca, CO (5,073, -74,488), Cundinamarca, Colombia",compot1
658079351,Common Potoo,,21 May 2026,"San José de Lindaraja Cundinamarca, CO (5,073, -74,488), Cundinamarca, Colombia",compot1
657955784,Common Potoo,,14 May 2026,"Avenida San Juan Bautista, urb. Nueva Casarapa, Guarenas, Miranda, Venezuela",compot1
657955782,Common Potoo,,14 May 2026,"Avenida San Juan Bautista, urb. Nueva Casarapa, Guarenas, Miranda, Venezuela",compot1
657955179,Common Potoo,,13 May 2026,"El Tablón, urbanización Nueva Casarapa, Guarenas, Miranda, VE (10.465, -66.589), Miranda, Venezuela",compot1
657955178,Common Potoo,,13 May 2026,"El Tablón, urbanización Nueva Casarapa, Guarenas, Miranda, VE (10.465, -66.589), Miranda, Venezuela",compot1
